N	P	K	temperature	humidity	ph	rainfall	label
38	56	25	25.74095321	45.38497051	7.88118645	67.43488235	mothbeans
27	43	23	31.70447482	56.85420099	5.875333778	44.94317432	mothbeans
24	38	22	24.47876451	58.51663927	8.202706015	34.96933295	mothbeans
23	45	21	31.46511256	51.79939437	8.985348193	74.44330654	mothbeans
29	57	20	25.60973447	50.7330069	5.87707519	53.39249517	mothbeans
31	35	23	30.30260453	47.18283631	7.707595055	68.04039813	mothbeans
0	55	25	28.17489437	43.6672299	4.524171562	45.78172762	mothbeans

0	49	18	29.68361658	87.93598094	6.990095452	41.82490236	mungbean
21	39	20	28.14448546	82.1193047	7.064782138	46.75690086	mungbean
28	35	22	29.53037621	86.73346018	7.156563094	59.87232071	mungbean

50	74	17	27.10053268	63.36085585	6.5408208	73.84949872	blackgram
39	73	24	25.65842532	61.18235808	7.22405917	69.28607828	blackgram
57	67	25	32.34744009	66.61452812	7.551364319	64.55882254	blackgram
52	63	19	29.58949031	68.32176769	6.928898659	67.53021213	blackgram

2	72	18	26.57597546	60.97876599	7.836719564	50.89110726	lentil
6	59	21	26.58972517	66.14007674	6.139215944	50.90994463	lentil
13	64	20	19.1345771	62.57526895	6.590571088	36.46946971	lentil
8	58	17	28.75273118	69.15640149	7.286049978	35.15426171	lentil
6	77	20	25.78746268	60.2816298	6.058306161	49.14337177	lentil
2	75	22	23.89271875	61.78779413	6.658605362	52.55730112	lentil

2	24	38	24.55981624	91.63536236	5.922935513	111.9684622	pomegranate
6	18	37	19.65690085	89.93701023	5.937649578	108.0458926	pomegranate
8	26	36	18.78359608	87.4024767	6.804781106	102.5184759	pomegranate
37	18	39	24.1469628	94.5110662	6.424670614	110.2316633	pomegranate
0	27	38	22.44581266	89.90147027	6.738016221	109.3905998	pomegranate
31	25	38	24.96273236	92.40501423	6.497366677	109.4169192	pomegranate
21	21	38	22.5526059	89.3259486	6.327673765	104.8955643	pomegranate
6	30	40	22.77035608	91.45498527	6.36137446	106.9659201	pomegranate

91	94	46	29.36792366	76.24900101	6.149934034	92.82840911	banana
105	95	50	27.33368994	83.67675197	5.849076099	101.0494791	banana
108	92	53	27.40053601	82.96221306	6.276800323	104.9378	banana
86	76	54	29.3159075	80.11585705	5.926824754	90.10978128	banana
80	77	49	26.05433004	79.39654531	5.519088423	113.2297373	banana

1	30	29	28.33333307	51.39586505	6.434197756	91.67241761	mango
16	35	31	32.27652024	50.19368841	5.316875978	95.99487068	mango
35	18	26	31.99490489	50.84881347	5.279388967	97.38741498	mango
4	40	26	27.58258929	48.56916221	6.720041791	95.8445641	mango
9	29	34	29.38471637	45.88744691	5.72742254	100.8124659	mango
2	38	33	32.38697531	53.2328243	4.691396195	90.21633216	mango
26	32	32	30.91471455	49.92963856	6.810186079	90.14047759	mango
34	38	31	35.37775595	45.58110023	6.454045329	97.41586402	mango
5	32	33	32.32362177	52.5896771	5.842763773	93.36718816	mango

22	123	205	32.44577836	83.88504863	5.896343436	68.73932528	grapes
36	125	196	37.46566825	80.65968681	6.15526103	66.83872293	grapes
24	131	196	22.03296178	83.74372787	5.732453638	65.34440794	grapes
2	123	198	39.64851881	82.21079946	6.253034534	70.39906054	grapes
35	140	197	16.77557314	82.75241875	6.106190557	66.76285469	grapes
11	122	195	12.14190714	83.56812483	5.647202395	69.63122027	grapes
6	123	203	12.7567962	81.62497448	6.130310493	66.77844567	grapes

119	19	55	25.18780042	83.44621709	6.818261383	46.87420883	watermelon
105	30	50	25.29954705	81.77527562	6.37620108	57.04147057	watermelon
114	8	50	24.74631269	88.30866319	6.581587932	57.95826144	watermelon
93	22	52	26.58740671	81.32563243	6.932739726	41.87540028	watermelon

114	27	48	27.82054812	93.03555162	6.528404378	26.32405487	muskmelon
101	25	52	29.09910406	94.22237826	6.750145572	22.52497327	muskmelon
118	18	52	28.04943594	90.83130708	6.562832807	20.76223014	muskmelon
95	26	45	29.91690582	94.55695552	6.117530021	28.16057247	muskmelon
81	25	49	29.86895762	93.25103208	6.076459669	26.26243014	muskmelon
117	24	53	29.17220859	92.21405224	6.293486295	21.30290472	muskmelon

24	128	196	22.75088787	90.69489172	5.521466996	110.4317855	apple
7	144	197	23.8494014	94.34814995	6.133220586	114.0512495	apple
14	128	205	22.60800988	94.58900601	6.226289556	116.0396587	apple
8	120	201	21.18667419	91.13435689	6.321152192	122.233323	apple

20	7	9	29.47741671	91.57802915	7.129136941	111.1727497	orange
26	27	10	28.06903173	92.91487288	6.079998496	114.1339416	orange
5	23	15	25.66901098	92.04670813	7.408939392	112.5424199	orange
0	18	14	29.77149434	92.00719952	7.207991261	114.4161786	orange

45	47	55	38.4191628	91.14220381	6.751452932	119.2653877	papaya
39	65	53	35.33294932	92.11508608	6.560743093	235.6133585	papaya
31	68	45	42.92325255	90.07600528	6.938313356	196.2408242	papaya
70	68	45	33.83508569	92.85470152	6.991626158	203.4044028	papaya

27	8	32	27.00648436	96.46168931	5.627860549	144.3331315	coconut
37	18	30	27.63551259	99.34854917	6.38488418	157.9171537	coconut
19	15	34	26.29644905	99.65809151	5.685889066	215.9195049	coconut
0	19	33	27.1326009	95.23797989	6.234458417	204.7206567	coconut
31	20	26	25.56567803	97.61361544	6.443168642	199.7936345	coconut
9	17	32	25.94951662	93.40548703	5.842317989	172.0540491	coconut

126	50	19	24.69457084	81.7358876	6.628722836	78.58494391	cotton
113	41	20	25.0017188	80.53965818	7.256877571	96.32600992	cotton
121	45	22	22.45942937	81.30681027	6.443785385	64.23026638	cotton
121	47	16	23.60564038	79.29573149	7.723240151	72.49800885	cotton

67	55	44	26.284017	75.14640198	7.251847296	182.2685447	jute
74	40	40	25.13842773	83.12053888	6.386259978	169.3388465	jute
89	53	44	24.88692811	71.91711523	7.319735475	150.2498675	jute
74	46	45	25.75734909	88.36668522	6.025028997	189.4263485	jute

109	31	27	23.05951896	50.40609436	6.973839707	164.4971875	coffee
89	25	34	23.07895447	63.65861483	7.184801627	129.8765443	coffee
118	18	32	27.6496114	51.11044023	6.351823783	122.8392822	coffee
111	32	34	25.46743689	69.35161206	6.392048018	171.3764462	coffee
